name,position,status,current_team,season,targets,routes_run,targets_per_route_run,yards_per_route_run,air_yards_share,target_share,yards_after_catch_per_reception,fantasy_points_per_game
Van Jefferson,WR,active,Los Angeles Rams,2023,43,355,0.1211,0.5887,14.0315,7.919,1.25,2.43
Olamide Zaccheaus,WR,active,Philadelphia Eagles,2023,20,296,0.0676,0.5541,4.2707,3.8095,5.2,2.26
Khadarel Hodge,WR,active,Atlanta Falcons,2023,23,176,0.1307,1.3182,7.6267,4.5908,5.8571,2.19
Jamison Crowder,WR,active,New York Giants,2023,20,83,0.241,1.9157,3.9153,3.3278,5,2.11
Tyler Scott,WR,active,Chicago Bears,2023,32,226,0.1416,0.7434,9.7343,6.7941,4.1176,2.11
Dyami Brown,WR,active,Washington Commanders,2023,23,158,0.1456,1.0633,8.1268,3.827,6.3333,2.06
Deven Thompkins,WR,active,Tampa Bay Buccaneers,2023,25,125,0.2,0.664,3.1533,4.5455,4.9412,2.05
John Metchie,WR,active,Houston Texans,2023,30,168,0.1786,0.9405,5.4087,5.8939,5.25,2.01
Donovan Peoples-Jones,WR,active,Cleveland Browns,2023,25,244,0.1025,0.6352,6.861,5.0403,2.6923,1.9
Chase Claypool,WR,active,Chicago Bears,2023,21,114,0.1842,0.6754,9.3839,5.7377,3.125,1.81
Byron Pringle,WR,active,Washington Commanders,2023,22,100,0.22,1.61,6.5548,3.6606,2.2143,1.65
Trent Sherfield,WR,active,Buffalo Bills,2023,22,172,0.1279,0.5,4.0581,4.3651,4.4545,1.6
Sterling Shepard,WR,active,New York Giants,2023,22,86,0.2558,0.6628,4.415,4.8673,3.3,1.35
